episode,steps,reward,length,avg_reward_100,waypoints_reached,collisions,avg_altitude
1,173,-1278.06,173,-1278.06,0,1,0.33
2,332,-909.20,159,-1093.63,0,1,0.34
3,467,-938.62,135,-1041.96,0,1,0.22
4,596,-828.09,129,-988.49,0,1,0.14
5,717,-669.92,121,-924.78,0,1,0.11
6,856,-802.65,139,-904.42,0,1,0.09
7,1000,-1080.06,144,-929.51,0,1,0.39
8,1129,-1237.76,129,-968.04,0,1,0.17
9,1259,-1123.91,130,-985.36,0,1,0.06
10,1453,-1363.01,194,-1023.13,0,1,0.26
11,1626,-1036.01,173,-1024.30,0,1,0.10
12,1748,-628.15,122,-991.29,0,1,0.38
